title,advancedGenre
ORI - Black Book (Official Video).mp3,"[0.049346656672196905, 0.11008838395028525, 0.021402361624928486, 0.02338466296831183, 0.02664300904248068, 0.06822903586490875, 0.020289260839217563, 0.1192306262206002, 0.04228167965389855, 0.01893153360662341, 0.014049016112892294, 0.030595499494249175, 0.02354330443525883, 0.022883070737596777, 0.08750645435744024, 0.03190163855238167, 0.020940581407503257, 0.060760562128449304, 0.05497966402861944, 0.027465863707540707, 0.07126095594319365, 0.0454940213018181, 0.008792157349605034]"
Children_Jumping in the Sunlight.mp3,"[0.0014397880131384094, 0.0055056562327773445, 0.0003306975496246323, 0.0009562242507274419, 0.00047651080403335403, 0.88228470898176, 0.0012517314295089274, 9.891648430542924e-05, 0.00038226840720128913, 0.00015413948532119653, 0.00013827286896882788, 0.009191574197256257, 0.000652598749481391, 6.719671669070266e-05, 0.008319758267164745, 0.00012701091495608796, 0.0014242873874184376, 0.0002718655613076966, 0.0071504484637424, 0.01422157482516003, 0.0003418859303922769, 0.05620550447800888, 0.009007380001054078]"
FunkSoul_Funky Groove Tonight.mp3,"[0.036723282368675496, 0.04747324072348181, 0.009105176084646519, 0.009635586307893629, 0.004951696267934754, 0.016714355753713845, 0.0020050340151144858, 0.3863056170153987, 0.0031925089286533267, 0.08605593417134004, 0.0037819295447394205, 0.014776041958630828, 0.0016709154502866043, 0.0007991822432187833, 0.05028313426871947, 0.03300241978644264, 0.011158607215486553, 0.2419633409280973, 0.007945744851417118, 0.0016132665122915754, 0.008033270646719185, 0.02170157136673827, 0.0011081435903596596]"
Neon Pulse.mp3,"[0.03531394274395401, 0.06129512372324466, 0.051840453281877606, 0.015473613401514506, 0.002041164771222824, 0.012142119529002442, 0.004863755228724627, 0.6403374137773716, 0.003788698503907989, 0.003970013850440402, 0.0028985007390149135, 0.004021179801216723, 0.002970098599938474, 0.0031561865055891565, 0.05408477270459588, 0.014498198956037338, 0.0037842911607486166, 0.02070316063607204, 0.010391357597075525, 0.0023584674541438887, 0.00711476849081234, 0.04157104096368885, 0.0013816775798052988]"
FolkCountry_Down by the County Line.mp3,"[0.018121854948645023, 0.0030576387074012046, 0.0012001307460751027, 0.023961824971564898, 0.02719918456086999, 0.3914161088513119, 0.0026391145032475054, 0.0004271314277249061, 0.4153068513158236, 0.0020377369371279413, 0.0011919458812925557, 0.027835047922284403, 0.0019819256663077007, 3.543380377160731e-05, 0.04634150262137743, 0.0006220838407982255, 0.0028498354764999252, 0.0021808116512396355, 0.008775678982694253, 0.00574106036439013, 0.001319719492383113, 0.015110916672251248, 0.0006464606549177178]"
JS-Don't Ever Leave Me.mp3,"[0.01637187796482175, 0.023199308173240767, 0.00243787888654155, 0.010530376089201744, 0.0012281827505419216, 0.03828773287430968, 0.5548266652578375, 0.001222444200159732, 0.0017419856248225667, 0.0017925718051340959, 0.0005558457578406439, 0.23166968654681772, 0.007775936495655617, 7.512231002418241e-05, 0.013082245126794652, 0.001035036311194414, 0.0031145332999107144, 0.007245377052246833, 0.004025102417691492, 0.008119881619146068, 0.0027407646610187082, 0.06752569353238808, 0.0013957512426594745]"
Spider Web Anthem.mp3,"[0.05606542203035805, 0.009331265944899317, 0.0998142784645627, 0.013117913279772634, 0.002952489044045008, 0.0491911665720395, 0.3484777736955922, 0.005567296940186519, 0.019039475030543724, 0.0028233284082351522, 0.0009078507120524932, 0.19785991318250548, 0.009540584215782208, 0.000158421378206844, 0.091568039736838, 0.0015022189635463198, 0.003326142415973038, 0.00403643690640452, 0.01710772071116795, 0.026493606410574955, 0.003134990506729956, 0.0335785784701164, 0.004405086979867458]"
"JH-Dave Brubeck, The Dave Brubeck Quartet - Take Five.mp3","[0.025318527587338543, 0.007215463249688415, 0.007110331796351852, 0.0006934059592962092, 0.0038308179111247007, 0.00906412819721281, 0.012963389422423857, 0.00038120420999880416, 0.0019667226376246807, 0.03703634204118927, 0.00043128474544454966, 0.753784323078288, 0.053025147647972934, 0.00012314890019947945, 0.0077151739555196405, 0.0003745072304278645, 0.0049646476440435485, 0.002637980794328948, 0.008592260555529687, 0.02725152470980249, 0.002207351499956587, 0.03292124442696776, 0.0003910717992694105]"
March of the Unyielding.mp3,"[0.038452632931032536, 0.10346457827848504, 0.02607743935481438, 0.03141372959108375, 0.018836066405082143, 0.06013885633722037, 0.034908131015721926, 0.08703139841411067, 0.014053164453449014, 0.014922399128802052, 0.012594159290201022, 0.04006460774148429, 0.013439840488271867, 0.040170070531289924, 0.05158488602687811, 0.01817909579936875, 0.013947886745610925, 0.026895487515645626, 0.05279867543246014, 0.027560821909585514, 0.031921613497395945, 0.22829279622944007, 0.013251662882565848]"
Blues_Smoky Room Blues.mp3,"[0.03293574916072123, 0.00983919162516559, 0.005456667919943912, 0.002501910147873971, 0.6963966357258107, 0.007995175451521199, 0.0005919311677814959, 0.008423321444126339, 0.015907205260911127, 0.033112857415774424, 0.0006765807314929638, 0.022187832678963022, 0.005838566749392132, 0.0005513021276996196, 0.05841843841218791, 0.00919240748759227, 0.012939031164082957, 0.012477755420011904, 0.041117100188323735, 0.00807285742709005, 0.007719689626957896, 0.0072448246845214885, 0.0004029679820539809]"
PH-QWER .mp3,"[0.0006200701251084269, 0.0008427081658626605, 0.000512822979328629, 0.8237550096260814, 0.0003659147606643923, 0.00808176391783817, 0.0007222780945841105, 0.003714819004084135, 0.0009344551880625226, 0.004521387229837707, 0.0003557450524900351, 0.0008825975065435873, 0.0010624058978359044, 0.0010491280511324458, 0.06666343204491308, 0.006180210244900365, 0.0021875144585753103, 0.058108795650191836, 0.011393381396606993, 0.0008661376418191154, 0.001292032628161158, 0.0032179896454008453, 0.002669400689977322]"
Midnight Sway.mp3,"[0.07305612648061162, 0.24946165358192998, 0.007476617364762716, 0.00846226768815913, 0.0035788100340490426, 0.03035465023113796, 0.004703713123912721, 0.11704444867434263, 0.0052315530405461046, 0.019248713935948573, 0.0028386638324145804, 0.030100404426635287, 0.008169094440894756, 0.001480906947834694, 0.07372902889944813, 0.062438391113980404, 0.01512646589737666, 0.17825649672300437, 0.019465238054927645, 0.007008483379617589, 0.020128680370713338, 0.060424931641354866, 0.0022146601163973907]"
Cozy Dreams.mp3,"[0.02890272230934364, 0.1424347835468705, 0.014134851889895201, 0.03147407739602298, 0.09496937207427551, 0.03387488048566388, 0.009404840068524573, 0.02813306912244108, 0.0186708318901051, 0.009387003055342772, 0.0050890126086665195, 0.043399554421955325, 0.01205537369879393, 0.02147125860887211, 0.059076465479482906, 0.015221099065114449, 0.015438934309141904, 0.02486451648564898, 0.0816784544424703, 0.03493277567527773, 0.04695487738118054, 0.22487783089747496, 0.0035534150874350742]"
Latin_Dancing in the Moonlight.mp3,"[0.19116057323129668, 0.0040124732856588845, 0.008752878309596123, 0.00167901926234743, 0.00152460283906189, 0.02948363402720911, 0.00151380568335581, 0.003923550458502501, 0.0015568961408022194, 0.004494627704804865, 0.0011490790658334597, 0.04604917470240005, 0.5040598671662357, 0.00022865466209993495, 0.14822504942986384, 0.004733079314842853, 0.003965388610638707, 0.0016131413754742485, 0.030451706070605936, 0.004873206349473125, 0.0002905334939761518, 0.005997932548749344, 0.00026112626717135246]"
FolkCountry_By the Firelight.mp3,"[0.002402630797620681, 0.0007092333546479829, 0.0023466150926686738, 0.00212894722151527, 0.009627503938561164, 0.17452354219995783, 0.0009819497484415739, 0.00011852458894771679, 0.7415676464869353, 0.0004021050716637769, 0.00014104616877365714, 0.015561779252547137, 0.001632736587350939, 6.79871334327247e-05, 0.024457335972957073, 0.00016283696310856414, 0.0013471687334787263, 0.00030787485187141453, 0.010190941536959142, 0.0055119040273627, 0.0002693805654076261, 0.005410315536083709, 0.00012999416970669884]"
Pretty Bear.mp3,"[0.014521374006570146, 0.056572319173848334, 0.011483665083781501, 0.01096236127114431, 0.012784237308265122, 0.028078981127523724, 0.015598919789882912, 0.023270280290797776, 0.00618938622804582, 0.004909712048465533, 0.004604681813557342, 0.028085506518792578, 0.0032749820712715486, 0.0725761771175797, 0.024951412706987534, 0.00883241856970465, 0.008001958969852715, 0.007926441223290696, 0.05256542503556492, 0.023238730850088072, 0.00724926168956209, 0.5673804722878812, 0.006941294817541799]"
Disco_Dance All Night.mp3,"[0.07397349930763147, 0.019555756815885516, 0.022693896277958637, 0.04911062259467589, 0.005947814591720247, 0.03313590502239199, 0.006287985138503571, 0.2169018648379159, 0.004712582727067308, 0.04276309072839773, 0.004374844097012976, 0.03583190260703404, 0.005405124331902676, 0.001976508936584088, 0.10934709983781127, 0.06116413913722635, 0.02089663021145137, 0.12409781336432514, 0.027408744090417117, 0.012728407470608301, 0.0038731348719532907, 0.11359847033929363, 0.004214162662231653]"
JH-Autumn Leaves.mp3,"[0.043011648314604224, 0.013645030612734805, 0.010137914950558841, 0.0021386504252919746, 0.009180359195810237, 0.016031103591022097, 0.020269500965914733, 0.0021843575937993253, 0.004057327724578724, 0.0555472251842327, 0.0014149455680671258, 0.659844701501048, 0.03847296216824836, 0.0003586834599188835, 0.014377024499478879, 0.001347904908546604, 0.005999859232295113, 0.009190025917472184, 0.011605314946018925, 0.027672219166146813, 0.003828895091672168, 0.048438959431811215, 0.0012453855507279985]"
Rising Dawn.mp3,"[0.02037256677341228, 0.0778808300357238, 0.014606956014026673, 0.012297582533354208, 0.011192817712049719, 0.020772791266615166, 0.010353608037064815, 0.0661090132700077, 0.004145286430551598, 0.009780075103378754, 0.006936894812821715, 0.019080298382031714, 0.0034308938170518224, 0.04694406512161372, 0.028337213319881354, 0.011085701819591409, 0.008048235754033408, 0.014124372430393061, 0.04179381722167248, 0.017209951332270292, 0.015778072886413363, 0.5313296968849653, 0.008389259041075535]"
Slay.mp3,"[0.01588181997936123, 0.00026685063878350304, 0.005551568505012908, 0.008168153234198793, 0.001732916307656135, 0.005947165259724511, 0.0008128913683837537, 0.010652520729717983, 0.0029364909207677944, 0.19373961618688104, 0.009846171722577329, 0.004001219636399786, 0.0015118598682339808, 0.0002534545849894768, 0.10799258903482406, 0.2016631539817946, 0.01825485592583858, 0.3984363528153054, 0.007395060686253075, 0.0008526856788184388, 0.0006776142264704809, 0.001638517372653608, 0.0017864713353541277]"
Metal_Wrath of the Abyss.mp3,"[0.005877283202777155, 0.027478812515189743, 0.01608915756168153, 0.007125566745277586, 0.01231782027274902, 0.015752666149163767, 0.012528142765496054, 0.00902442491733783, 0.003951337699244585, 0.0033261930756746227, 0.0060410027411520835, 0.015567792880061165, 0.0021648890480570494, 0.34112159215465804, 0.01937358802323098, 0.01088143734077207, 0.008007178542750407, 0.007211984877442751, 0.07337537494288826, 0.023560391439529572, 0.01345936687898034, 0.35942848567359037, 0.006335510552294985]"
Storm of Chaos.mp3,"[0.009902105700871952, 0.052610562356174416, 0.007984095497581448, 0.012495150297399596, 0.006838557186550645, 0.015053004920310312, 0.01693207052980898, 0.013877459588912169, 0.004376069658996853, 0.004141989528949482, 0.003943642751246975, 0.016487506022958804, 0.005695355113732276, 0.4175095177405569, 0.025569314790939015, 0.010016430232687454, 0.005210425007191201, 0.01258211597473408, 0.057625460835172726, 0.013431206550019375, 0.030732762425175187, 0.2506245102490016, 0.0063606870410285]"
PS-Ariana Grande - pov.mp3,"[0.016946158829053072, 0.0009740550774537759, 0.002783024509166972, 0.08113001339691013, 0.0008378495622026058, 0.0033788872715881293, 0.0009773437810213913, 0.013968059904910523, 0.0022465959449015373, 0.014344458030529925, 0.0036548331283401633, 0.004968385352278316, 0.0033929694933567457, 0.0008601871874434881, 0.28081819383421025, 0.08748307570034342, 0.003321112215352193, 0.46327463410492764, 0.008709455943621536, 0.0007427439066925647, 0.0021344930007185276, 0.0020591113922285437, 0.000994358432748523]"
PH-NewJeans 'Hype Boy' .mp3,"[0.024768677924138394, 0.0007801102988340561, 0.005609404218008873, 0.031590573879564585, 0.0005696948236354572, 0.011157767869655, 0.0012819956874299588, 0.030525277335426974, 0.0023558687011020173, 0.012044341151014791, 0.01056560788174274, 0.005776790895428788, 0.004912198210821851, 0.00152457605310293, 0.3045960760295911, 0.07658602971534595, 0.005107421121209195, 0.45268891951232226, 0.013733004745984965, 0.000729746206845484, 0.0006244332519032359, 0.0013377891716442047, 0.0011336953152471083]"
PH-Taylor Swift - Anti-Hero.mp3,"[0.051036581022819626, 0.014963620459452622, 0.02409875173991684, 0.007665496416899973, 0.0034164788193825945, 0.04449963750787338, 0.004093930635017669, 0.15670124677413885, 0.0890209850388278, 0.038630084858139076, 0.004214638712244343, 0.017406073427937884, 0.00689021274607474, 0.00917498291828896, 0.1584984906629894, 0.05353074520095713, 0.014155422578344679, 0.1863792174415861, 0.0549543609365423, 0.027031826260951904, 0.0065379940533626885, 0.01633199033736361, 0.010767231450887916]"
Classical_Shadows and Light.mp3,"[0.028986562213128356, 0.33431534697023124, 0.006217575753027705, 0.0027582241083327582, 0.0046302431214264765, 0.01423845192297591, 0.03759243979780565, 0.030189919840199794, 0.006610580604813864, 0.0022778320260010538, 0.00246339163631023, 0.026962548151212712, 0.003452416121160628, 0.0008082891307743222, 0.01615801956114915, 0.0029569927355060826, 0.0015741011299053075, 0.0054378284741852835, 0.008598337587658135, 0.009087918604731265, 0.02839917884681807, 0.42330842467791635, 0.0029753769847297]"
NewJeans - Hype Boy  Instrumental.mp3,"[0.04442723143881629, 0.035941032707722684, 0.029513921171702834, 0.029026669529162375, 0.004476201507673209, 0.024994079339857915, 0.006254154615031632, 0.23231965733500687, 0.007237943260262898, 0.039322014201867976, 0.010351201975969875, 0.02563093609948559, 0.008246601888327345, 0.009005544111712536, 0.10809248665456186, 0.05842242777866825, 0.03694288528194288, 0.20624988116169574, 0.039289203177003997, 0.009518874485660356, 0.008451695725649341, 0.021092197172267915, 0.0051931593799496014]"
Children_Adventure Awaits.mp3,"[0.033729274388860295, 0.04639561547290993, 0.010540379741385573, 0.006253151440638456, 0.0020659779291240994, 0.5916252991964236, 0.011525829321203175, 0.023678977394595267, 0.0014815806155079386, 0.008216442524158511, 0.004631002836908637, 0.016081185957407967, 0.005043987297773929, 0.0012381474201138955, 0.033322928897997726, 0.012001489624409587, 0.013428789675705741, 0.010724172785518016, 0.017725147014134652, 0.018571106563787784, 0.010781698662888747, 0.08630840347486861, 0.03462941176367788]"
Rainy Reflections.mp3,"[0.024870834585319107, 0.5172990042279594, 0.008073197689640316, 0.009899059643388775, 0.002560122092043476, 0.038298394462514415, 0.04235895939638703, 0.03081301253329965, 0.0035338833987062146, 0.002267760233280037, 0.005865985961150001, 0.04366968242741391, 0.004778745476181204, 0.0010731246450896932, 0.009128511695504134, 0.002353005280663866, 0.0035518565061255824, 0.007898632163183643, 0.0038294130543309267, 0.0029620833074207728, 0.0728760740019392, 0.1594656175697756, 0.002573039648683023]"
ORI - There's No One Else.mp3,"[0.06282753413677142, 0.05568988752767759, 0.045661610012124765, 0.015572500739329101, 0.026677887622685456, 0.05566735620612438, 0.007442571230200232, 0.060155222036606, 0.030227312570380995, 0.03279564352186851, 0.01272560818579771, 0.040425247309054044, 0.01867783744178335, 0.007540588597460774, 0.1219014053522277, 0.036904154547678, 0.03808169405497532, 0.12104626715673235, 0.06883517240400172, 0.03633025940264472, 0.06870792266387843, 0.027713491066522405, 0.008392826213475089]"
JS-Miles Davis - Blue In Green.mp3,"[0.04857564878646668, 0.01569372433352814, 0.00793331849869115, 0.0008768731833744765, 0.0031016724862075722, 0.007958040350240055, 0.05197407524640711, 0.0016099481591304269, 0.003209206767009421, 0.025350729499771987, 0.0006148688246207589, 0.6076151624542174, 0.1253448247590942, 0.00014541175249290923, 0.017373448454423557, 0.0007947871710121526, 0.0034268411301557598, 0.003963033350319833, 0.011444215406450436, 0.023275974523553535, 0.0011728197783840285, 0.03813019792693769, 0.0004151771575110114]"
Midnight Rendezvous.mp3,"[0.006945798150881705, 0.0343537161170772, 0.003127093798148725, 0.0010328552012868304, 0.0017439178597367514, 0.08636350226308658, 0.013336237051522181, 0.0011487386423070492, 0.0006615202568707166, 0.006663419033910994, 0.0003740313944027697, 0.7528216316355965, 0.008150444076173708, 3.420892334730448e-05, 0.0051245422238575915, 0.00040961311651451843, 0.001879131825419123, 0.005780008500323995, 0.0022766410725809294, 0.004978821020254154, 0.0017524919603384616, 0.06075584205070821, 0.000285793825654037]"
